Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
AMZN190418C01605000,2019-02-01 1:35PM EST,"1,605.00",113,101.5,106.35,-69.97,-38.24%,2,192,32.45%
AMZN190418C01615000,2019-02-01 3:21PM EST,"1,615.00",100,94.85,102.7,-72.36,-41.98%,26,87,32.90%
AMZN190418C01620000,2019-02-01 3:55PM EST,"1,620.00",94.35,94,96,-73.6,-43.82%,62,261,31.45%
AMZN190418C01625000,2019-02-01 3:59PM EST,"1,625.00",92.29,88.9,97.1,-70.81,-43.42%,79,140,32.63%
AMZN190418C01635000,2019-02-01 3:56PM EST,"1,635.00",87.9,86,92.2,-69.19,-44.04%,43,98,32.54%
AMZN190418C01640000,2019-02-01 3:59PM EST,"1,640.00",85.04,83.1,88.65,-69.68,-45.04%,148,456,32.11%
AMZN190418C01645000,2019-02-01 3:56PM EST,"1,645.00",83.1,78.75,86.25,-67.9,-44.97%,78,133,32.04%
AMZN190418C01655000,2019-02-01 3:58PM EST,"1,655.00",78,74.05,82,-66.8,-46.13%,205,214,32.07%
